protocol,model,seed,auc,bal_acc
leaky_segment,LogReg,42,0.9421308031669327,0.8188424947145878
leaky_segment,LogReg,123,0.9393234633325344,0.8190285485515014
leaky_segment,LogReg,2024,0.9421065392075368,0.818424691476437
leaky_segment,LogReg,7,0.93867673992674,0.8109307953950811
leaky_segment,LogReg,99,0.9401324938766786,0.8130060986635543
leaky_segment,LinearSVM,42,0.9426836141433317,0.8170492298399274
leaky_segment,LinearSVM,123,0.9397343475501029,0.8169155237851919
leaky_segment,LinearSVM,2024,0.9421858015218364,0.8168521005179359
leaky_segment,LinearSVM,7,0.9390535060177917,0.8084160779696494
leaky_segment,LinearSVM,99,0.9403994542435848,0.8152072066148308
clean_record,LogReg,42,0.9209303513071896,0.7952665441176471
clean_record,LogReg,123,0.9264004682503427,0.823164116034719
clean_record,LogReg,2024,0.9323601213227135,0.7904100806352181
clean_record,LogReg,7,0.9185258353486153,0.7961340645117341
clean_record,LogReg,99,0.9453238341968911,0.7877072538860104
clean_record,LinearSVM,42,0.9164815665849674,0.7764629289215685
clean_record,LinearSVM,123,0.9246730813156692,0.780464824120603
clean_record,LinearSVM,2024,0.9318607747885483,0.7556099425443248
clean_record,LinearSVM,7,0.9176538710446541,0.7635443986511803
clean_record,LinearSVM,99,0.9395272020725388,0.7677072538860104
clean_database,LogReg,42,0.3206568668795309,0.33298943711468565
clean_database,LogReg,123,0.5680630714685576,0.5332307022454438
clean_database,LogReg,2024,0.3206568668795309,0.33298943711468565
clean_database,LogReg,7,0.47677745982830727,0.49115855895516913
clean_database,LogReg,99,0.5997336195928753,0.555472725826972
clean_database,LinearSVM,42,0.31254392834909733,0.3423398999939755
clean_database,LinearSVM,123,0.5705044473471419,0.5259843254338497
clean_database,LinearSVM,2024,0.31254392834909733,0.3423398999939755
clean_database,LinearSVM,7,0.48156504512436715,0.49709259666886785
clean_database,LinearSVM,99,0.5972089694656488,0.565630963740458
