recording_id,database,label,split,note
a0001,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0002,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0003,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0004,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0005,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0006,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0007,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0008,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0009,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0010,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0011,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0012,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0013,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0014,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0015,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0016,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0017,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0018,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0019,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0020,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0021,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0022,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0023,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0024,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0025,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0026,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0027,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0028,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0029,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0030,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0031,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0032,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0033,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0034,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0035,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0036,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0037,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0038,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0039,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0040,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0041,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0042,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0043,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0044,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0045,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0046,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0047,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0048,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0049,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0050,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0051,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0052,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0053,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0054,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0055,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0056,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0057,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0058,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0059,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0060,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0061,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0062,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0063,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0064,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0065,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0066,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0067,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0068,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0069,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0070,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0071,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0072,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0073,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0074,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0075,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0076,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0077,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0078,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0079,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0080,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0081,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0082,a,1,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0083,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0084,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0085,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0086,a,0,test,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0087,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0088,a,0,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
a0089,a,1,train,"seed=42, 70/30, record-level (matches split_idx in notebook)"
